Date Collected,Company Name,URL,"Practice Ecosystems (Data, AI etc)",Practice List (delimited),Training Program Duration,Tech Partnerships,Anecdotal Views of Quality,Consultant Pricing
28/05/2024,AND Digital,,,,"13 days/year for innovation and upskilling with budget. 'We hire and upskill our people in the technologies you need, …'",Cloud: AWS; MS; GCP. SaaS Partners: commercetools; akeneo; Cloudinary; Amplience; Ingenuity; BigCommerce; contentful; elasticpath; algolia.,Glassdoor: 3.4/5,
28/05/2024,BetterGov,,,,No Training information found,Cabinet Office; NHS; Lancashire County Council; Kent County Council; Department for Work and Pensions; Barnet London Borough; Crown Commercial Service; Powys; UK Parliament,Public Sector specialist; Glassdoor 5/5 (1 vote),https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/406851652750305/£275/day
28/05/2024,Capco Limited,,,,"2-week programme - ""Capco’s induction course is a comprehensive two-week program""",APTUS.AI; AUSTRIAN BLOCKCHAIN CENTER; ACTIVEVIAM; AUTOMATION ANYWHERE; BACKBASE; BSI; CANDELA LABS; CSS connects; AXA HONG KONG AND MACAU; CELONIS; ENCOMPASS; GALOR; GOOGLE CLOUD; GERMAN SUSTAINABILITY NETWORK; HAWK : AI; INCENTAGE; INSTANDA; MAMBU; MULESOFT: ANYPOINT PLATFORM™; MUREX; PLAID; PYRAMID; SIKOM; SOLARISBANK; SURECOMP; UNQORK; XCEPTOR,Glassdoor 3.7/5 (3.4 Reviews); Indeed 3.1/5 (59 Reviews); ,
28/05/2024,Dufrain,,,,No Training information found,"Microsoft, Tableau, Scottish Financial Enterprise; EDM council; Google cloud; SAS",Glassdoor 3/5; Highly Commended for ‘Consultancy of the Year’; dataIQ shortlisted for best'Best data and analytics team 2023'; top 50 best mid-sized companies to work for Q2 2023 (cert.b.co.uk); Top 5 best consultancy companyies to work for Q2 2023,
28/05/2024,MeshAI,,,,Annual training allowance is £2k + 5 training days,"AWS, Azure, Google Cloud.","Glassdoor: 4/5; Sunday Times Best Places to Work 2024; ; VC funding (£23.6m, Oct 2021, Columbia Capital);",
28/05/2024,Cambridge Consultants,,,,No data available,CC is part of Capegemini Invent so may have same tech partners as capegemini,4.2/5 (Glassdoor),no data available
28/05/2024,Cognizant Technology Solutions Corp,,,,12-14 weeks,"adobe,aws,cast,cisco,cloudera,cyberark,dell technologies,delphix,duck creek technologies,finastra,genrocket,google cloud,guidewire,hitachi vantara,ibm,informatica,micro focus,microsoft,microstrategy,mulesoft,neotys,nutanix,oracle,pega,philips,ptc,qlik,red hat,salesforce,sap,servicenow,software ag,tableau,talend,temenos,tibco,uipath,veeva,vitech,vmware,workday",3.8/5 (Glassdoor)Top Score in Human Rights Campaign Foundation’s 2023-2024 Corporate Equality Index;Gold employer by the India Workplace Equality Index 2023;Recognized by the American Opportunity Index as a top 25 employer;Top Employer Europe 2023;Cognizant proud to be among Consulting Magazine’s Best Firms to Work For 2023;Forbes Magazine Names Cognizant Consulting One of America’s Best Management Consulting Firms,400-2100 per unit per day
28/05/2024,Infosys Ltd,,,,3-6 months,"Ab Initio, Acquia, Actifio, Adexao, Adobe, Aerospike, Affirmed, Agilepoint, Ahead, Aigo, Airspan, Akana, Akeneo, Alation, Alfresco, Algonox, Alibaba, Alkami, Allied Digital, Alteryx, Amazon Web Services AWS, Anaplan, Apigee, Appdynamics, Appian, Applause, Apple, Applitools, Apptio, Apttus, Arista, Arrow Electronics, Aruba, Aryaka Networks, ASNA, AT&T, Aternity, Atlassian, Automation Anywhere, Avaya, Avaloq, AVNET, Axway, Azirio, Backbase, Betty Blocks, Bidgely, Bigcommerce, Birst, Bizagi, BladeBridge, Blu Age (AWS), Blueprint, Blue Prism, BlueYonder, BMC Software, Board International, BP3, British Telecom, CA Technologies, Callidus (SAP), Calypso, Camunda, Canees, Canonical, CAST, Cavisson, CDW, Celonis, Centercode, Chef.io, Cicero, Cisco, Citrix, Click Software (Salesforce), CLO (Broadridge), CloudBees, Cloudcraze (Salesforce), Cloudera, Cloudsense, Cockroach, Cohesity, Collibra, Comcast, Comcast (Xfinity), Commercetools, Commvault, CompuCom, COMPUWARE (BMC Compuware), COMPUWARE (now merged with BMC), Configit, Confluent - Kafka, Contentful, Coresite, CostPerform, Couchbase, Coupa, Creatio, CrowdStrike, Crownpeak, Cyara, Cyberark, Cyxtera, D2IQ, Dassault Systèmes, Databank, Databricks, DataDog, Dataguise (PKWare), Dataiku, Datastax, DataRobot, Dell, Dell Boomi, Delphix, Denodo, Densify, Device42, DiffBlue, Digital Realty, Digital River, Digital.AI, Dimension Data, Diota (acquired by Dassault), DOCKER, DOMO, Drupal, dryvIQ, Dynatrace, EDB, eJAmerica, Elastic, Elastic Path, Empirix (Hammer), Enablon, Energysys, Ensono, Ephesoft, Episerver (Optimizely), Equinix, Ericsson, The Ergonomic Group, Erwin (Quest), Esri, Eurotech, Extreme Networks, Extron, EY, F5 Networks, Fabric, Facebook (META), Fadata, FarEye, Firehost, Firehost (Armor), FIS, FIT, Finastra, Five9, Flexential, Flexera, Fluent Commerce, Fortinet, Fourkites, Gavstech, GE Digital, Generix, Genesys, GitHub, GK Software, Google, GT Nexus, Guidewire, Hackolade, Harness, HashiCorp, Headspin, Hemmersbach, HERE, Hitachi Vantara, Honeywell, HP, HPE, HPE Aruba, HPE Financial Services, Hubspot, IBM, IBM Maximo, IBM Sterling, ideaForge, IFS, Imagenistic, Immuta, Incorta, Infoblox, Infor, Informatica, Information Builder (TIBCO), Ingram Cloudblue, Ingram Micro, INT4, Intel, Intelex, Iron Systems, Itential, Jamf, JCI Digital, Jitterbit, Juniper, Katalon, KEYNOTE, Kinaxis, Knowi, Kobiton, Kofax, Kong, Kore.AI, Kronos (Ukg), Lakeside, LambdaTest, Lansweeper, LeanIX, Leapwork, Lenovo, Liferay, Lightbend, LivePerson, LogicMonitor, Looker (Google), LRS Inc, Lumen, Magento/eBay, Maincubes, Manhattan Associates, MapR (now acquired by HP), Marklogic, Matilda, Mavenir, Mediaocean, Megaport, MemSQL, Mendix, Metaswitch, MetricStream, Micro Focus, Microsoft, Microstrategy, Minit, Mirakl, Model 9, Model N, MongoDB, Moogsoft, Mozark, Mulesoft, Murex, Nanoheal, Nasuni, nCino, Neo4j, Neotys, Netapp, NetInspect, Netsuite, New Relic, Newgen, Nexthink, Nextpathway, NICE Actimize, NICE inContact, Nicus, Nokia, NTT, NuoDB, Nutanix, Nuxeo, NVIDIA, O9, Okera, Onapsis, OneTrust, OpenText, Oracle, Orange, OutSystems, OVH Cloud, PagerDuty, Palantir, Palo Alto Networks, Parasoft, Pcloudy, Pegasystems, Perfecto Mobile, Perspectium, Planview, Platform, Plutora, Pomeroy/Getronics, PriceFx, Proact, Proact IT, Procurri, Prophecy, ProStep, Proudfoot, Provar, PTC, Puppet, Pure Storage, QAD, Qlik+Talend, Qualcomm, Quali, Qualys, Quest, Quickbase, RackWare, Red Hat, RedisLabs, Reltio, Rhiscom, Ricoh, Ridge, Rimini Street, Riversand, Robert Mark Technologies, Robocorp, Rockwell Automation, RPA Supervisor, RSA, RTTS, Rubrik, Runmyprocess, Sabre, Sailpoint, SalesForce, Samsung, SAP, Saratech, SAS, SAUCELABS, Savyint, SDL, Seagate, Selenium, Sensei Labs, Servicemax, Servicemax (now PTC), ServiceNow, Sew, Sew-EURODRIVE, Shopify, Siemens, Siemens Mendix (acquired by Siemens), Signavio (SAP), SingleStore, Sitecore, Sitetracker, Skysync, SKYTAP, SmartBear Software, Snaplogic, SNOW, Snowflake, Software AG, Solace, Solarwinds, Solix, Solo, Sortspoke, SourceFire, SPLUNK, Spryker, StackVelocity, Starburst, Stibo Systems, Streamsets, strike, Stripe, SugarCRM, Sumo Logic, Sungard, Supermicro, Suse, SUSE Rancher, Symantec, Syndigo, Sysomos, Tableau, TCL, Tealium, TecEx, Tech Data/Avnet, Tech Target, Telehouse, Telstra, Teradata, Testbirds, Testplant, Theobald, ThoughtSpot, Throtle, Thunderhead, TIBCO, TidalScale, TipTech, TipTech (Acquired by Deltek), TMAXSoft, Tookitaki, Treehouse, Treeni, Tricentis, Tridiagonal, Trifacta, Trifacta (merged with Alteryx), TROUX, Twilio, Typesafe, UiPath, Ujet CX, UNISYS, United Layer, UnitedCloud, Ushur, Vantiq, Veeam, Veeva, Verifaya, Veritas, Verizon, Verizon Terremark, Viavi, Vintech, VirtoCommerce, Virtual Instruments, Virtustream, Vivit, Vlocity, VMWare, VNTANA, Vodafone, Vyntelligence, Wandisco, Wavemaker, Webinfinity (360Insights), Workato, Workday, WorkFusion, Worksoft, WorkSpan, WSO2, WWTS, Xerox (Incl. CareAR), Yagna Iq, Yellow Messenger, Yugabyes, Zebra, Zendesk, Zoho, Zoom, zScaler, Zuora, 1E, 3DLook, 8*8, 99 Tests","3.7/5 (Glassdoor); Infosys awarded the Global Top Employer 2024 certification in 20 countries, across Asia Pacific, Europe, the Middle East, and North America.; Infosys ranked in the Top 3 IT services brands in the world for the third year in a row by Brand Finance; Fastest CAGR in brand value, in IT services industry, over 5 years, in its Global 500 2024 report.;Infosys has been recognized as one of the best organizations for women in 2024 by The Economic Times.","369 to 1,167 a unit a day"
28/05/2024,IQVIA Holdings Inc,,,,No data available,"aprimo,AsynchAPI,Avenga,Box,Customertimes,DocuSign,EMIDS,Google Looker,KMK,MuleSoft, OwnBackup, Reltio,Riva,Salesforce, SAP Concur, Snowflake, ThoughtSpot, Twilio, Vodori, Workday, YOOBIC","3.9/5 (Glassdoor);“Best AI-based Solution for Healthcare” award in the sixth annual AI Breakthrough Awards; IQVIA Next Best Action has been recognized as a bronze winner in the 2023 Stevie® Awards in the category of Big Data Solutions; 2024 Best in KLAS award for Acute Care EMR, Asia and Oceania","1,200 to 1,500 a unit a day"
28/05/2024,Kubrick Group,,,,15 weeks,"aws,tableau,collibra,alteryx, dataiku, neo4j, databricks, google cloud, Microsoft, Solidatus, dataops, snowflake, unravel, starburst",3.4/5 (Glassdoor); Kubrick Named in the Fast Growth 50 London 2023,350 a unit per day
