Date of Collection,Company Name,Website_URL,Public/Private,Practices,Practices_URL,Services,Services_URL,Solutions,Solutions_URL,Previous Close,52 Week Range,Sector,Industry,Full Time Employees,Market Cap,Fiscal Year Ends,Revenue,EBITDA,Company NPS,Company Glassdoor,MI Summary,Competitive Threat Level,Market Share,Pricing Strategy,Target Market_1,Target Market_2,Channels-to-Market_1 (Social Media),Channels-to-Market_2 (Sales),Channels-to-Market_3 (Promotions/Sponsorship),Market Differentiation (USP),Revenue Trends,Profitability,Growth Rate,Revenue per Employee,Customer Satisfaction,Reviews & Ratings,Customer Complaints,Innovation,Tech Advancements,Patents & Intellectual Property,Emerging Trends,Potential Threats,Long-term Strategy,Recent Activities,Market Responsiveness,Key Executives,Company Culture,Compliance Requirements,Legal Issues/Pending Litigations,Environmental Impact,Social Initiatives
2024-06-26,Capgemini SE,https://www.capgemini.com/,Public,Cloud,https://www.capgemini.com/gb-en/services/cloud/,Cloud for customer first,https://www.capgemini.com/gb-en/services/cloud/cloud-for-customer-first/,"Give your employees access to any app, on any device, any time, from anywhere—with strong safety, security, and privacy. We offer smart, secure ways to collaborate with colleagues around the globe, and personalised service bundles that recognise each user’s uniqueness.",https://www.capgemini.com/gb-en/services/cloud/cloud-for-customer-first/,189.5,157.75 - 227.4,Technology,Information Technology Services,340443,31920826368,31/12/24,22521999360,2985999872,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-26,Capgemini SE,https://www.capgemini.com/,Public,Cloud,https://www.capgemini.com/gb-en/services/cloud/,Cloud for customer first,https://www.capgemini.com/gb-en/services/cloud/cloud-for-customer-first/,"Our cloud-based composable CX platform scales immersive experiences to drive customer satisfaction to new levels. It aggregates data to win and retain customers and increase wallet share, and it boosts revenue, margin, and customer satisfaction through faster delivery of hyper-personalised services.",https://www.capgemini.com/gb-en/services/cloud/cloud-for-customer-first/,189.5,157.75 - 227.4,Technology,Information Technology Services,340443,31920826368,31/12/24,22521999360,2985999872,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-26,Capgemini SE,https://www.capgemini.com/,Public,Cloud,https://www.capgemini.com/gb-en/services/cloud/,Cloud for customer first,https://www.capgemini.com/gb-en/services/cloud/cloud-for-customer-first/,"Our customer data hub gives you a single view of the customer through integrated customer data. It provides dynamic segmentation from unified profile and interactions, data democratisation through out-of-the-box connectors with other MarTech and CRM systems, and personalisation of the customer experience.",https://www.capgemini.com/gb-en/services/cloud/cloud-for-customer-first/,189.5,157.75 - 227.4,Technology,Information Technology Services,340443,31920826368,31/12/24,22521999360,2985999872,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-26,Capgemini SE,https://www.capgemini.com/,Public,Cloud,https://www.capgemini.com/gb-en/services/cloud/,Cloud for customer first,https://www.capgemini.com/gb-en/services/cloud/cloud-for-customer-first/,"With our business model reinvention, we deliver insights so you can create your vision and establish market presence quickly. This service gives you the reach, breadth, and pace to deploy new innovations at scale – with access to our sector-specific expertise, services, and experience.",https://www.capgemini.com/gb-en/services/cloud/cloud-for-customer-first/,189.5,157.75 - 227.4,Technology,Information Technology Services,340443,31920826368,31/12/24,22521999360,2985999872,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-26,Capgemini SE,https://www.capgemini.com/,Public,Cloud,https://www.capgemini.com/gb-en/services/cloud/,Cloud for customer first,https://www.capgemini.com/gb-en/services/cloud/cloud-for-customer-first/,"With our digital cloud platform, we provide access to industry-specific cloud platform blueprints; an API marketplace where you can select sector-specific modules to accelerate and enhance your application; and new applications that you can customise or expand upon to meet specific needs.",https://www.capgemini.com/gb-en/services/cloud/cloud-for-customer-first/,189.5,157.75 - 227.4,Technology,Information Technology Services,340443,31920826368,31/12/24,22521999360,2985999872,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-26,Capgemini SE,https://www.capgemini.com/,Public,Cloud,https://www.capgemini.com/gb-en/services/cloud/,Cloud for enterprise management,https://www.capgemini.com/gb-en/services/cloud/cloud-for-enterprise-management/,"Commit to a vision and procure the support to carry it through. We help you build your strategy and business case, including the target operating model, cloud migration scenarios, and financial impact; define the cloud skills map; and create a Cloud Centre of Excellence (CCoE).",https://www.capgemini.com/gb-en/services/cloud/cloud-for-enterprise-management/,189.5,157.75 - 227.4,Technology,Information Technology Services,340443,31920826368,31/12/24,22521999360,2985999872,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-26,Capgemini SE,https://www.capgemini.com/,Public,Cloud,https://www.capgemini.com/gb-en/services/cloud/,Cloud for enterprise management,https://www.capgemini.com/gb-en/services/cloud/cloud-for-enterprise-management/,"We provide a FinOps framework delivered on AWS, Azure, and/or GCP that aligns your cloud strategy and cloud consumption; identifies opportunities for cost reduction and optimisation; and helps optimise your cloud subscription models.",https://www.capgemini.com/gb-en/services/cloud/cloud-for-enterprise-management/,189.5,157.75 - 227.4,Technology,Information Technology Services,340443,31920826368,31/12/24,22521999360,2985999872,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-26,Capgemini SE,https://www.capgemini.com/,Public,Cloud,https://www.capgemini.com/gb-en/services/cloud/,Cloud for enterprise management,https://www.capgemini.com/gb-en/services/cloud/cloud-for-enterprise-management/,"We work closely with your IT leadership to create and implement an SAP-to-Cloud strategy that is aligned with your business strategy. These services provide transparency and control while mitigating the risk of “lock-in” with cloud providers, service integrators, tools, or software.",https://www.capgemini.com/gb-en/services/cloud/cloud-for-enterprise-management/,189.5,157.75 - 227.4,Technology,Information Technology Services,340443,31920826368,31/12/24,22521999360,2985999872,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-26,Capgemini SE,https://www.capgemini.com/,Public,Cloud,https://www.capgemini.com/gb-en/services/cloud/,Cloud for enterprise management,https://www.capgemini.com/gb-en/services/cloud/cloud-for-enterprise-management/,"With our Platform SRE (Service Reliability Engineering) as-a-service, we help you refocus IT on business value. They integrate the skills, processes, and technologies to run and continuously improve IT operations, and provide frameworks and methods to create a culture of continuous improvement and agility.",https://www.capgemini.com/gb-en/services/cloud/cloud-for-enterprise-management/,189.5,157.75 - 227.4,Technology,Information Technology Services,340443,31920826368,31/12/24,22521999360,2985999872,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-26,Capgemini SE,https://www.capgemini.com/,Public,Cloud,https://www.capgemini.com/gb-en/services/cloud/,Cloud for enterprise management,https://www.capgemini.com/gb-en/services/cloud/cloud-for-enterprise-management/,"With our adaptive cloud operations, we provide multi-cloud support; integration with hybrid and edge use cases; an adaptable cloud operations framework; and embedded cloud-native security features for continuous improvement at the core. Our automated cloud operations platform and pre-built cloud-native platforms will accelerate your digital initiatives.",https://www.capgemini.com/gb-en/services/cloud/cloud-for-enterprise-management/,189.5,157.75 - 227.4,Technology,Information Technology Services,340443,31920826368,31/12/24,22521999360,2985999872,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
