Date of Collection,Company Name,Website_URL,Public/Private,Practices,Practices_URL,Services,Services_URL,Solutions,Solutions_URL,Previous Close,52 Week Range,Sector,Industry,Full Time Employees,Market Cap,Fiscal Year Ends,Revenue,EBITDA,Company NPS,Company Glassdoor,MI Summary,Competitive Threat Level,Market Share,Pricing Strategy,Target Market_1,Target Market_2,Channels-to-Market_1 (Social Media),Channels-to-Market_2 (Sales),Channels-to-Market_3 (Promotions/Sponsorship),Market Differentiation (USP),Revenue Trends,Profitability,Growth Rate,Revenue per Employee,Customer Satisfaction,Reviews & Ratings,Customer Complaints,Innovation,Tech Advancements,Patents & Intellectual Property,Emerging Trends,Potential Threats,Long-term Strategy,Recent Activities,Market Responsiveness,Key Executives,Company Culture,Compliance Requirements,Legal Issues/Pending Litigations,Environmental Impact,Social Initiatives
2024-06-21,Box UK,https://www.boxuk.com,Private,No Practices Data Available,No Practices URL Data Available,Digital Transformation,https://www.boxuk.com/strategy-planning/,Agile Software Discovery,https://www.boxuk.com/strategy-planning/discovery/,Private,Private,Private,Private,Private,Private,Private,Private,Private,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-21,Box UK,https://www.boxuk.com,Private,No Practices Data Available,No Practices URL Data Available,Digital Transformation,https://www.boxuk.com/strategy-planning/,CTO as a Service,https://www.boxuk.com/strategy-planning/cto-as-a-service/,Private,Private,Private,Private,Private,Private,Private,Private,Private,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-21,Box UK,https://www.boxuk.com,Private,No Practices Data Available,No Practices URL Data Available,Digital Transformation,https://www.boxuk.com/strategy-planning/,Options Analysis,https://www.boxuk.com/strategy-planning/options-analysis/,Private,Private,Private,Private,Private,Private,Private,Private,Private,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-21,Box UK,https://www.boxuk.com,Private,No Practices Data Available,No Practices URL Data Available,Digital Transformation,https://www.boxuk.com/strategy-planning/,"Peers, Innovators, Competitors Review",https://www.boxuk.com/strategy-planning/peers-innovators-competitors-review/,Private,Private,Private,Private,Private,Private,Private,Private,Private,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-21,Box UK,https://www.boxuk.com,Private,No Practices Data Available,No Practices URL Data Available,Digital Transformation,https://www.boxuk.com/strategy-planning/,Strategic Planning & Product Roadmaps,https://www.boxuk.com/strategy-planning/roadmap-planning/,Private,Private,Private,Private,Private,Private,Private,Private,Private,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-21,Box UK,https://www.boxuk.com,Private,No Practices Data Available,No Practices URL Data Available,Ecommerce Development,https://www.boxuk.com/ecommerce-development/,Conversion Rate Optimisation Consultancy,https://www.boxuk.com/ecommerce-development/conversion-rate-optimisation/,Private,Private,Private,Private,Private,Private,Private,Private,Private,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-21,Box UK,https://www.boxuk.com,Private,No Practices Data Available,No Practices URL Data Available,Ecommerce Development,https://www.boxuk.com/ecommerce-development/,WooCommerce Development,https://www.boxuk.com/ecommerce-development/woocommerce-development/,Private,Private,Private,Private,Private,Private,Private,Private,Private,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-21,Box UK,https://www.boxuk.com,Private,No Practices Data Available,No Practices URL Data Available,Platform Management,https://www.boxuk.com/platform-management/,Cyber Security Management,https://www.boxuk.com/platform-management/security-management/,Private,Private,Private,Private,Private,Private,Private,Private,Private,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-21,Box UK,https://www.boxuk.com,Private,No Practices Data Available,No Practices URL Data Available,Platform Management,https://www.boxuk.com/platform-management/,DevOps & Cloud Consultancy,https://www.boxuk.com/platform-management/devops-cloud/,Private,Private,Private,Private,Private,Private,Private,Private,Private,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
2024-06-21,Box UK,https://www.boxuk.com,Private,No Practices Data Available,No Practices URL Data Available,Platform Management,https://www.boxuk.com/platform-management/,Managed Services,https://www.boxuk.com/platform-management/managed-services/,Private,Private,Private,Private,Private,Private,Private,Private,Private,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
